name_fa,name_en,gender
گیلا,gila,female
گیو,gioo,male
یادگار,yadgar,male
یارا,yara,female
یاس,yas,female
یاسَمَن,yasaman,female
یاور,yaor,male
یزدان,yzdan,male
یزدان‌دار,yzdan dar,male
یزدگرد,yzdgrd,male
یسنا,ysna,female
یکتا,ykta,female
یگانه,yganeh,female
